Barco/Marea/lance;Especie capturada;Especie descartada;Kg especie;Nº individuos;Media aritmética;Varianza muestral;Desv. Típica;Comprobación Nº ind.;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;81;83;86;88;89;92;96;113
OC_01_04;HKE;;52.5;29;61.6;46.5;6.8;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;3;;1;2;2;1;1;;1;4;1;2;1;1;;1;1;2;;2;;;;;;;;;;;;;
OC_01_04;BRF;;12;36;30.8;5.1;2.2;36;;;;;;;;;;1;2;4;3;5;8;4;6;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_04;WHB;;16;73;29.8;5.1;2.3;73;;;;;;;;1;2;3;3;11;12;16;10;7;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_04;POP;;X;1;36;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_04;;SHO;X;12;49.3;42.6;6.5;12;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;2;;1;1;2;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_04;;WHB;X;18;30.2;3;1.7;18;;;;;;;;;;1;1;;3;4;6;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_04;;HKE;X;2;56.5;40.5;6.4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;WHB;;32;93;26.8;5.2;2.3;93;;;;;;;3;7;17;24;17;7;2;6;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;SBR;;X;11;40.7;23.2;4.8;11;;;;;;;;;;;;;;;;;;1;1;;;2;1;1;;1;2;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OC_01_05;GFB;;X;1;48;#¡DIV/0!;#¡DIV/0!;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
