Nombre Barco;Cod Buque;Folio;Puerto base;Potencia (C.V.);TRB;Eslora Total (m);Casco
Os Castro   (OC);25766;3CO-4-2-03;Muxia;230;93.76;23;Acero
Siempre San Pablo (SS);27730;3AV-3-2-15;Puerto de Vega;150;56.5;20;Poliéster
